platform,title,price,url,description,notes,health_percent,power_on_hours,host_writes_tb,reallocated_sector_count,current_pending_sector,offline_uncorrectable,media_integrity_errors,critical_warning,supports_return,intended_use
Goofish / 閒魚,,,,,手動搜尋：KC3000 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：KC3000 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：KC3000 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：KC3000 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：KC3000 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：KC3000 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：SN770 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：SN770 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：SN770 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：SN770 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：SN770 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：SN770 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：P5 Plus 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：P5 Plus 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：P5 Plus 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：P5 Plus 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：P5 Plus 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：P5 Plus 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：970 EVO Plus 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：970 EVO Plus 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：970 EVO Plus 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：970 EVO Plus 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：970 EVO Plus 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：970 EVO Plus 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：980 PRO 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：980 PRO 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：980 PRO 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：980 PRO 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：980 PRO 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：980 PRO 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：P31 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：P31 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：P31 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：P31 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：P31 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：P31 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：P41 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：P41 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：P41 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：P41 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：P41 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：P41 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
